#{"t_start": 1658422774.1500745, "env_id": "A1GymEnv-v1"}
r,l,t
-1084.0,14,10.077122
-1032.0,5,10.092965
-1062.0,10,10.122761
-1072.0,10,10.157638
-1048.0,7,10.180254
-1080.0,11,10.213825
-1062.0,10,10.24582
-1032.0,5,10.262417
-1040.0,6,10.281071
-1040.0,6,10.299575
-1014.0,4,10.312425
-1088.0,12,10.349787
-1062.0,10,10.382307
-1070.0,11,10.417283
-1052.0,10,10.448654
-1040.0,6,10.467592
-1064.0,9,10.495795
-1048.0,7,10.518811
-1088.0,12,10.556754
-1048.0,7,10.579386
-1048.0,7,10.600894
-1046.0,8,10.62586
-1084.0,14,10.669443
-1052.0,10,10.700183
-1008.0,2,10.707434
-1048.0,7,10.729001
-1086.0,13,10.769282
-1064.0,9,10.806684
-1032.0,5,10.824733
-1024.0,4,10.838372
-1048.0,7,10.861894
-1016.0,3,10.872783
-1040.0,6,10.892537
-1078.0,12,10.929553
-1096.0,13,10.973554
-1038.0,7,10.995923
-1072.0,10,11.027442
-1060.0,11,11.060997
-1116.0,18,11.115937
-1048.0,7,11.13841
-1016.0,3,11.150384
-1040.0,6,11.169405
-1032.0,5,11.185306
-1142.0,20,11.2466
-1424.0,54,11.409444
-1118.0,17,11.460228
-1024.0,4,11.482613
-1072.0,10,11.513871
-1182.0,25,11.589242
-1040.0,6,11.608556
-1054.0,9,11.63649
-1024.0,4,11.650798
-1080.0,11,11.68489
-1032.0,5,11.701832
-1076.0,13,11.742179
-1048.0,7,11.764602
-1056.0,8,11.789315
-1132.0,20,11.862267
-1024.0,4,11.875175
-1104.0,14,11.91987
-1112.0,15,11.966421
-1030.0,6,11.985617
-1032.0,5,12.001183
-1080.0,11,12.035254
-1088.0,12,12.07222
-1080.0,11,12.11113
-1032.0,5,12.129734
-1040.0,6,12.152344
-1032.0,5,12.169056
-1016.0,3,12.180187
-1030.0,6,12.200391
-1056.0,8,12.226277
-1064.0,9,12.255101
-1048.0,7,12.278894
-1072.0,10,12.310563
-1112.0,15,12.357991
-1080.0,11,12.391948
-1110.0,21,12.455246
-1032.0,5,12.471129
-1008.0,2,12.478217
-1048.0,7,12.499588
-1072.0,10,12.53047
-1064.0,14,12.573809
-1062.0,10,12.605148
-1112.0,15,12.651335
-1122.0,20,12.712696
-1048.0,7,12.73563
-1068.0,12,12.776243
-1110.0,16,12.830054
-1102.0,15,12.880363
-1032.0,5,12.896358
-1048.0,7,12.917603
-1064.0,9,12.945699
-1080.0,11,12.97949
-1064.0,9,13.007235
-1106.0,18,13.062193
-1088.0,12,13.099535
-1090.0,16,13.160691
-1192.0,30,13.252191
-1040.0,6,13.271558
-1136.0,18,13.327427
-1080.0,11,13.362489
-1040.0,6,13.381861
-1056.0,8,13.406901
-1066.0,13,13.447612
-1112.0,15,13.493368
-1048.0,7,13.516276
-1064.0,9,13.544635
-1072.0,10,13.576162
-1056.0,8,13.601043
-1036.0,8,13.626316
-1048.0,7,13.648921
-1076.0,13,13.692178
-1084.0,14,13.735025
-1008.0,2,13.742549
-1032.0,5,13.759634
-1088.0,12,13.796616
-1048.0,7,13.818378
-1048.0,7,13.841316
-1016.0,3,13.85785
-1032.0,5,13.87495
-1270.0,36,13.984771
-1032.0,5,14.00119
-1048.0,7,14.022906
-1008.0,2,14.029765
-1140.0,21,14.094536
-1050.0,11,14.128166
-1032.0,5,14.147117
-1084.0,14,14.189929
-1136.0,23,14.258164
-1072.0,10,14.289286
-1096.0,13,14.328199
-1040.0,6,14.347618
-1072.0,10,14.378358
-1094.0,14,14.422196
-1016.0,3,14.431994
-1040.0,6,14.450824
-1016.0,3,14.460377
-1038.0,7,14.482038
-1080.0,11,14.515995
-1144.0,19,14.574081
-1214.0,29,14.671378
-1008.0,2,14.67834
-1312.0,40,14.804484
-1108.0,17,14.861784
-1040.0,6,14.891356
-1038.0,7,14.915172
-1072.0,10,14.946414
-1056.0,8,14.970996
-1016.0,3,14.981109
-1048.0,7,15.96436
-1016.0,3,15.974397
-1040.0,6,15.99315
-1048.0,7,16.014407
-1120.0,16,16.063253
-1056.0,8,16.088823
-1182.0,25,16.168863
-1080.0,11,16.202306
-1032.0,5,16.21804
-1154.0,24,16.289151
-1040.0,6,16.307937
-1062.0,10,16.337585
-1112.0,15,16.382382
-1096.0,13,16.423528
-1048.0,7,16.44533
-1072.0,10,16.476112
-1160.0,21,16.539887
-1112.0,15,16.58564
-1056.0,8,16.610372
-1016.0,3,16.620072
-1062.0,10,16.651697
-1024.0,4,16.667252
-1024.0,4,16.681692
-1064.0,9,16.710667
-1064.0,9,16.739406
-1080.0,11,16.773844
-1084.0,14,16.816625
-1142.0,20,16.879139
-1038.0,7,16.905253
-1072.0,10,16.944963
-1016.0,3,16.954676
-1102.0,15,16.999528
-1040.0,6,17.017854
-1056.0,8,17.041698
-1070.0,11,17.074275
-1044.0,9,17.101665
-1096.0,13,17.151027
-1048.0,7,17.175999
-1032.0,5,17.193389
-1038.0,7,17.217066
-1040.0,6,17.237839
-1098.0,17,17.290863
-1064.0,9,17.318177
-1048.0,7,17.341369
-1064.0,9,17.369176
-1112.0,15,17.414155
-1112.0,15,17.459638
-1096.0,13,17.499122
-1032.0,5,17.515079
-1056.0,8,17.541089
-1024.0,4,17.554155
-1070.0,11,17.587215
-1086.0,13,17.63053
-1088.0,17,17.68786
-1080.0,11,17.723898
-1126.0,18,17.780345
-1048.0,7,17.801989
-1080.0,11,17.835605
-1070.0,11,17.87134
-1078.0,12,17.909792
-1088.0,12,17.957249
-1070.0,11,17.991253
-1056.0,8,18.016599
-1078.0,12,18.053335
-1072.0,10,18.085373
-1016.0,3,18.095746
-1128.0,17,18.15047
-1032.0,5,18.165927
-1048.0,7,18.187782
-1072.0,10,18.220582
-1016.0,3,18.230674
-1064.0,9,18.257964
-1078.0,12,18.293978
-1058.0,12,18.330913
-1070.0,11,18.363683
-1110.0,16,18.410842
-1032.0,5,18.425972
-1040.0,6,18.444565
-1080.0,11,18.478652
-1062.0,10,18.512048
-1064.0,9,18.540619
-1072.0,10,18.572047
-1118.0,22,18.638936
-1064.0,14,18.68129
-1092.0,15,18.728041
-1040.0,6,18.74771
-1080.0,11,18.784677
-1166.0,28,18.88244
-1122.0,20,18.942416
-1032.0,5,18.967361
-1040.0,6,18.986309
-1080.0,11,19.019702
-1054.0,9,19.048235
-1146.0,23,19.120959
-1192.0,30,19.215007
-1016.0,3,19.225035
-1046.0,8,19.249639
-1032.0,5,19.265291
-1056.0,8,19.289478
-1048.0,7,19.311087
-1040.0,6,19.329989
-1064.0,9,19.357609
-1148.0,22,19.423284
-1048.0,7,19.445054
-1086.0,13,19.48412
-1048.0,7,19.505409
-1048.0,7,19.526874
-1032.0,5,19.54486
-1126.0,18,19.599596
-1048.0,7,19.62216
-1054.0,9,19.65056
-1032.0,5,19.666665
-1156.0,23,19.743517
-1032.0,5,19.761074
-1048.0,7,19.785168
-1048.0,7,19.80806
-1084.0,14,19.852495
-1042.0,10,19.889174
-1064.0,9,19.940555
-1040.0,6,19.960132
-1032.0,5,19.984343
-1088.0,12,20.021106
-1110.0,16,20.069057
-1070.0,11,20.102436
-1054.0,9,20.129776
-1112.0,15,20.177037
-1024.0,4,20.190478
-1032.0,5,20.206079
-1068.0,12,20.241895
-1128.0,17,20.292864
-1016.0,3,20.303037
-1072.0,10,20.333442
-1118.0,17,20.386978
-1048.0,7,20.409001
-1086.0,13,20.448114
-1062.0,10,20.478219
-1062.0,10,20.509259
-1094.0,14,20.551535
-1046.0,8,20.578257
-1046.0,8,20.603777
-1038.0,7,20.627256
-1120.0,16,20.675355
-1040.0,6,20.694732
-1072.0,15,20.742584
-1032.0,5,20.758837
-1038.0,7,20.780778
-1110.0,16,20.831582
-1072.0,10,20.863927
-1222.0,30,20.959761
