#{"t_start": 1658422774.1500745, "env_id": "A1GymEnv-v1"}
r,l,t
-1148.0,22,174.372595
-1078.0,12,174.408498
-1102.0,15,174.454301
-1098.0,17,174.505142
-1078.0,12,174.552424
-1246.0,33,174.659255
-1110.0,16,174.707748
-1218.0,32,174.806299
-1118.0,17,174.869908
-1282.0,40,174.992045
-1024.0,4,175.004899
-1128.0,22,175.070588
-1038.0,7,175.092067
-1228.0,32,175.192247
-1056.0,8,175.216533
-1158.0,22,175.282278
-1074.0,14,175.324425
-1100.0,16,175.382478
-1064.0,9,175.41029
-1062.0,10,175.442032
-1090.0,16,175.491144
-1062.0,10,175.52201
-1192.0,25,175.608101
-1076.0,13,175.649142
-1060.0,11,175.683039
-1070.0,11,175.716808
-1094.0,14,175.760584
-1040.0,6,175.779983
-1088.0,12,175.81655
-1128.0,17,175.874449
-1076.0,13,175.915562
-1046.0,8,175.943578
-1118.0,17,175.997646
-1144.0,19,176.055181
-1158.0,22,176.122367
-1096.0,13,176.165573
-1048.0,7,176.18922
-1048.0,7,176.210707
-1124.0,24,176.283011
-1040.0,6,176.301621
-1062.0,10,176.33239
-1038.0,7,176.354726
-1046.0,8,176.380123
-1094.0,14,176.42342
-1064.0,9,176.452229
-1176.0,23,176.52289
-1120.0,16,176.579299
-1102.0,15,176.630646
-1102.0,15,176.682943
-1104.0,14,176.728021
-1072.0,10,176.760412
-1096.0,18,176.817218
-1108.0,17,176.875648
-1024.0,4,176.891883
-1120.0,16,176.945801
-1280.0,36,177.058581
-1060.0,11,177.09304
-1112.0,15,177.140632
-1144.0,19,177.206765
-1054.0,9,177.236205
-1048.0,12,177.274321
-1096.0,13,177.316619
-1070.0,11,177.351082
-1056.0,8,177.37607
-1092.0,15,177.436175
-1040.0,6,177.455432
-1072.0,10,177.485699
-1048.0,7,177.507235
-1118.0,17,177.558406
-1056.0,8,177.58335
-1088.0,12,177.631558
-1356.0,48,177.780165
-1080.0,11,177.81434
-1038.0,7,177.838002
-1080.0,11,177.871118
-1046.0,8,177.895491
-1112.0,15,177.942069
-1086.0,13,178.012186
-1390.0,56,178.202783
-1064.0,9,178.23116
-1102.0,15,178.277227
-1098.0,17,178.329033
-1080.0,11,178.36313
-1196.0,28,179.428232
-1040.0,6,179.448807
-1040.0,6,179.468555
-1088.0,12,179.508211
-1102.0,15,179.562205
-1108.0,17,179.616431
-1040.0,6,179.641092
-1104.0,14,179.689445
-1104.0,14,179.733563
-1088.0,12,179.770911
-1072.0,10,179.803242
-1104.0,14,179.848386
-1064.0,9,179.881149
-1072.0,10,179.913624
-1058.0,12,179.952521
-1064.0,9,179.981236
-1140.0,21,180.047086
-1064.0,9,180.075064
-1048.0,7,180.097305
-1226.0,33,180.204891
-1056.0,8,180.230127
-1096.0,13,180.270669
-1060.0,11,180.304786
-1076.0,13,180.346038
-1072.0,10,180.377803
-1240.0,31,180.472927
-1048.0,7,180.495234
-1190.0,26,180.57537
-1072.0,10,180.607776
-1262.0,35,180.724144
-1112.0,15,180.773199
-1072.0,10,180.804103
-1118.0,17,180.855323
-1096.0,13,180.895493
-1102.0,20,180.956611
-1112.0,20,181.016576
-1168.0,22,181.082598
-1108.0,17,181.134106
-1144.0,19,181.194937
-1120.0,21,181.257431
-1072.0,10,181.288306
-1056.0,8,181.312423
-1154.0,24,181.388251
-1126.0,18,181.444465
-1064.0,9,181.473026
-1096.0,13,181.512825
-1136.0,18,181.568954
-1118.0,17,181.621264
-1032.0,5,181.638168
-1030.0,6,181.657555
-1056.0,8,181.695693
-1116.0,18,181.750858
-1244.0,34,181.858296
-1062.0,10,181.890193
-1136.0,18,181.947167
-1080.0,11,181.982363
-1086.0,13,182.02286
-1064.0,9,182.051471
-1246.0,33,182.159233
-1100.0,16,182.217592
-1198.0,27,182.325759
-1054.0,9,182.35385
-1156.0,28,182.439037
-1148.0,22,182.508211
-1040.0,6,182.527153
-1080.0,11,182.561335
-1036.0,8,182.587564
-1192.0,30,182.679751
-1150.0,26,182.771844
-1312.0,40,182.896771
-1064.0,9,182.926241
-1248.0,32,183.023016
-1064.0,9,183.051421
-1118.0,17,183.102976
-1032.0,5,183.118718
-1088.0,12,183.157588
-1062.0,10,183.189829
-1096.0,13,183.229771
-1040.0,6,183.248635
-1216.0,33,183.347219
-1056.0,8,183.372218
-1056.0,8,183.396835
-1054.0,9,183.424373
-1040.0,6,183.443338
-1168.0,22,183.51026
-1118.0,17,183.561758
-1048.0,7,183.583839
-1060.0,11,183.618261
-1152.0,20,183.678996
-1360.0,46,183.830352
-1062.0,10,183.862886
-1134.0,19,183.931269
-1118.0,17,183.98319
-1078.0,12,184.01987
-1120.0,16,184.068062
-1144.0,19,184.125422
-1086.0,13,184.166608
-1120.0,16,184.215688
-1048.0,7,184.237222
-1048.0,7,184.259292
-1086.0,13,184.298731
-1160.0,21,184.362062
-1124.0,19,184.418114
-1094.0,14,184.460402
-1076.0,13,184.499619
-1176.0,23,184.570313
-1182.0,35,184.679998
-1064.0,9,184.708894
-1062.0,10,184.747835
-1178.0,27,184.83362
-1112.0,15,184.880639
-1056.0,8,184.905947
-1086.0,13,184.944619
-1040.0,6,184.963418
-1104.0,14,185.005878
-1048.0,7,185.02753
-1038.0,7,185.048932
-1080.0,11,185.082234
-1168.0,27,185.165645
-1036.0,8,185.19173
-1258.0,37,185.303852
-1064.0,9,185.330646
-1112.0,15,185.377398
-1072.0,10,185.421212
-1120.0,16,185.47034
-1088.0,12,185.508148
-1102.0,20,185.569189
-1200.0,26,185.64911
-1096.0,13,185.690196
-1054.0,9,185.717772
-1128.0,17,185.783342
-1252.0,35,186.850897
-1070.0,11,186.8874
-1446.0,58,187.06728
-1180.0,26,187.152079
-1080.0,11,187.186683
-1136.0,18,187.245758
-1150.0,21,187.310442
-1088.0,12,187.346983
-1038.0,7,187.369781
-1024.0,4,187.384156
-1078.0,12,187.421558
-1150.0,21,187.487627
-1096.0,13,187.529474
-1118.0,17,187.58214
-1040.0,6,187.601816
-1072.0,10,187.633123
-1016.0,3,187.644253
-1104.0,14,187.690946
-1080.0,11,187.727202
-1128.0,17,187.779694
-1024.0,4,187.795352
-1086.0,13,187.844015
-1054.0,9,187.872824
-1078.0,12,187.912029
-1132.0,20,187.972706
-1062.0,10,188.003727
-1160.0,21,188.068541
-1104.0,14,188.111704
-1064.0,9,188.141122
-1040.0,6,188.161387
-1056.0,8,188.186832
-1120.0,16,188.236531
-1088.0,12,188.274305
-1118.0,17,188.325858
-1198.0,27,188.407861
-1080.0,11,188.441241
-1136.0,18,188.495628
-1136.0,18,188.550648
-1046.0,8,188.576914
-1094.0,14,188.620683
-1210.0,31,188.716076
-1060.0,11,188.751117
-1056.0,8,188.776085
-1086.0,13,188.82061
-1072.0,10,188.856987
-1064.0,9,188.885517
-1144.0,19,188.960904
-1142.0,20,189.021628
-1174.0,24,189.096295
-1166.0,23,189.16684
-1054.0,9,189.196587
-1030.0,6,189.216104
-1098.0,17,189.266881
-1104.0,14,189.310758
-1080.0,11,189.344728
-1152.0,20,189.410531
-1112.0,15,189.455851
-1102.0,15,189.501093
-1076.0,13,189.552124
-1040.0,6,189.572468
-1030.0,6,189.59912
-1132.0,20,189.675963
-1024.0,4,189.689325
-1092.0,15,189.734731
-1086.0,13,189.776005
-1088.0,22,189.859357
-1094.0,14,189.908525
-1046.0,8,189.934326
-1126.0,18,189.991002
-1044.0,9,190.019591
-1072.0,20,190.08162
-1118.0,17,190.135747
-1096.0,13,190.17916
-1092.0,15,190.228305
-1628.0,82,190.484413
-1072.0,10,190.515701
-1078.0,12,190.553928
-1078.0,12,190.59087
-1080.0,11,190.626137
-1214.0,34,190.731414
-1140.0,21,190.797814
-1056.0,8,190.823155
-1056.0,8,190.847696
-1174.0,24,190.93132
-1302.0,40,191.052221
-1040.0,6,191.07213
-1362.0,50,191.227373
-1286.0,48,191.373468
-1070.0,11,191.408087
-1040.0,6,191.427346
-1102.0,15,191.473053
-1064.0,9,191.50079
-1094.0,14,191.543439
-1112.0,15,191.589072
-1128.0,17,191.642427
-1102.0,15,191.689522
-1138.0,22,191.760603
-1038.0,7,191.782909
-1280.0,36,191.904
-1070.0,11,191.93993
-1078.0,12,191.979413
-1046.0,8,192.007556
-1062.0,10,192.039934
-1032.0,5,192.056436
-1040.0,6,192.077071
-1086.0,13,192.124295
-1250.0,36,192.243234
-1158.0,27,192.325584
-1054.0,9,192.353366
-1062.0,10,192.384226
-1126.0,18,192.438071
-1072.0,10,192.468627
-1024.0,4,192.481605
-1072.0,10,192.512516
-1296.0,43,192.647497
-1046.0,8,192.673419
-1332.0,45,192.826711
-1134.0,19,192.889654
-1048.0,7,192.92565
-1040.0,6,192.946956
-1068.0,12,192.988316
-1112.0,15,193.04063
-1054.0,9,193.072689
-1142.0,25,193.160931
-1016.0,3,193.172418
-1016.0,3,193.183001
-1064.0,9,193.212037
-1154.0,24,193.284879
-1062.0,10,193.315941
-1078.0,12,193.353246
-1048.0,7,193.375155
-1032.0,5,193.390974
-1048.0,7,193.413418
-1150.0,21,194.418655
-1120.0,16,194.466533
-1260.0,36,194.574774
-1132.0,25,194.652097
-1054.0,9,194.683725
-1046.0,8,194.712534
-1080.0,11,194.751403
-1062.0,10,194.787072
-1056.0,8,194.815963
-1124.0,19,194.875846
-1102.0,15,194.925112
-1024.0,4,194.938356
-1072.0,10,194.978098
-1056.0,8,195.003099
-1080.0,11,195.036426
-1110.0,16,195.085161
-1074.0,14,195.127944
-1048.0,7,195.152053
-1088.0,12,195.188311
-1058.0,12,195.225611
-1118.0,22,195.291201
-1064.0,9,195.318318
-1128.0,17,195.369991
-1052.0,10,195.401695
-1142.0,20,195.463626
-1054.0,9,195.492829
-1048.0,7,195.514382
-1160.0,21,195.578335
-1140.0,21,195.643698
-1064.0,9,195.67304
-1120.0,16,195.722368
-1072.0,10,195.752916
-1132.0,20,195.816961
-1088.0,12,195.854557
-1126.0,18,195.91134
-1170.0,26,195.998524
-1168.0,22,196.066277
-1064.0,9,196.094557
-1084.0,14,196.137173
-1110.0,16,196.187268
-1104.0,14,196.232011
-1128.0,22,196.297283
-1054.0,9,196.324343
-1252.0,35,196.429716
-1080.0,11,196.464093
-1154.0,24,196.53809
-1080.0,11,196.571696
-1136.0,18,196.627305
-1080.0,11,196.664525
-1104.0,24,196.74315
-1088.0,12,196.780277
-1032.0,5,196.796568
-1052.0,10,196.829721
-1078.0,12,196.867207
-1092.0,15,196.927092
-1168.0,22,197.003782
-1214.0,29,197.095809
-1080.0,11,197.129064
-1140.0,21,197.19531
-1072.0,10,197.234219
-1064.0,9,197.261703
-1128.0,32,197.357996
-1080.0,11,197.392688
-1134.0,19,197.45298
-1112.0,15,197.500053
-1056.0,8,197.525492
-1110.0,16,197.574536
-1110.0,16,197.62403
-1046.0,8,197.651057
-1040.0,6,197.670716
-1168.0,22,197.738081
-1084.0,14,197.780212
-1082.0,15,197.826433
-1078.0,12,197.863106
-1064.0,9,197.890876
-1150.0,21,197.957159
-1084.0,14,198.000411
-1062.0,10,198.042723
-1096.0,13,198.088216
-1128.0,17,198.148345
-1048.0,7,198.173313
-1040.0,6,198.193966
-1032.0,5,198.211827
-1064.0,9,198.244059
-1070.0,11,198.280625
-1190.0,26,198.367919
-1096.0,18,198.428993
-1136.0,18,198.490132
-1080.0,11,198.527486
-1032.0,5,198.546261
-1082.0,15,198.59744
-1110.0,16,198.649977
-1054.0,9,198.678441
-1122.0,20,198.741589
-1048.0,7,198.764018
-1070.0,11,198.797102
-1126.0,18,198.857136
-1328.0,42,198.985409
-1112.0,15,199.037486
-1128.0,17,199.09652
-1070.0,11,199.131327
-1080.0,11,199.167244
-1160.0,21,199.231895
-1064.0,9,199.258849
-1102.0,15,199.304108
-1148.0,22,199.370541
-1096.0,18,199.42531
-1166.0,23,199.497405
-1064.0,9,199.525129
-1104.0,14,199.568488
-1214.0,29,199.659412
-1164.0,24,199.732353
-1048.0,7,199.754899
-1134.0,19,199.814359
-1080.0,11,199.847919
-1064.0,9,199.875403
-1080.0,11,199.909451
-1142.0,20,199.970936
-1160.0,21,200.034697
-1152.0,20,200.106211
-1072.0,10,200.153363
-1140.0,21,200.217561
-1178.0,27,200.299475
-1274.0,39,200.444357
-1134.0,19,200.50167
-1060.0,11,200.53507
-1198.0,27,200.619211
-1172.0,25,200.69986
-1040.0,6,200.719122
-1144.0,19,200.778466
-1206.0,28,200.865176
-1094.0,14,200.910672
-1066.0,13,201.926478
-1104.0,14,201.972065
-1048.0,7,201.996517
-1224.0,29,202.092054
-1272.0,35,202.212227
-1168.0,22,202.283344
-1096.0,13,202.326194
-1040.0,6,202.345819
-1062.0,10,202.377627
-1100.0,16,202.426876
-1214.0,29,202.518478
-1038.0,7,202.541229
-1032.0,5,202.557334
-1118.0,17,202.610549
-1104.0,14,202.656242
-1032.0,5,202.672343
-1076.0,13,202.718404
-1048.0,7,202.741625
-1152.0,25,202.822523
-1070.0,11,202.856569
-1054.0,9,202.886927
-1070.0,11,202.926619
-1052.0,10,202.961783
-1080.0,11,203.00061
-1128.0,17,203.057502
-1182.0,25,203.15481
-1032.0,5,203.172819
-1344.0,44,203.311191
-1136.0,18,203.366801
-1120.0,16,203.41635
-1084.0,14,203.459721
-1238.0,32,203.561949
-1008.0,2,203.569372
-1066.0,13,203.61194
-1070.0,16,203.661025
-1096.0,18,203.717157
-1120.0,16,203.765438
-1078.0,12,203.804621
-1028.0,7,203.827183
-1048.0,7,203.848847
-1096.0,13,203.889653
-1136.0,18,203.946534
-1112.0,15,203.99294
-1228.0,32,204.089785
-1048.0,7,204.112336
-1068.0,12,204.162416
-1124.0,19,204.222789
-1140.0,21,204.286313
-1086.0,13,204.32637
-1062.0,10,204.370635
-1144.0,29,204.459044
-1086.0,13,204.501404
-1128.0,22,204.571655
-1072.0,10,204.603921
-1102.0,20,204.665989
-1148.0,22,204.732393
-1276.0,38,204.848722
-1052.0,10,204.885769
-1080.0,11,204.920774
-1062.0,10,204.952633
-1070.0,11,204.986519
-1096.0,13,205.025743
-1108.0,17,205.076342
-1038.0,7,205.097701
-1152.0,25,205.186342
-1152.0,20,205.24789
-1070.0,11,205.281249
-1134.0,19,205.33884
-1132.0,20,205.399585
-1096.0,13,205.438783
-1154.0,24,205.512788
-1178.0,27,205.597165
-1048.0,7,205.618619
-1176.0,23,205.692031
-1064.0,9,205.719821
-1112.0,15,205.766055
-1056.0,8,205.791655
-1232.0,40,205.913954
-1084.0,14,205.956611
-1278.0,37,206.071149
-1118.0,17,206.123001
-1126.0,18,206.181844
-1182.0,30,206.279305
-1110.0,16,206.327991
-1110.0,16,206.376777
-1104.0,14,206.425378
-1060.0,11,206.459414
-1120.0,16,206.508771
-1098.0,17,206.561434
-1458.0,62,206.755621
-1038.0,7,206.778442
-1120.0,16,206.827931
-1234.0,44,206.969071
-1112.0,15,207.017002
-1080.0,11,207.051467
-1072.0,10,207.081854
-1064.0,9,207.110255
-1086.0,13,207.154299
-1030.0,6,207.174011
-1188.0,27,207.275373
-1206.0,28,207.362797
-1124.0,19,207.421654
-1120.0,16,207.473018
-1298.0,42,207.626729
-1080.0,11,207.662431
-1048.0,7,207.684408
-1128.0,17,207.736932
-1224.0,29,207.827417
-1112.0,15,207.875354
-1072.0,10,207.911509
-1056.0,8,207.936926
-1072.0,10,207.967805
-1120.0,16,208.016351
-1080.0,11,208.050382
-1112.0,15,208.096127
-1104.0,14,208.14007
-1134.0,19,208.198946
-1120.0,21,208.272539
-1230.0,36,208.382501
-1098.0,17,208.433885
-1030.0,6,208.452988
-1112.0,25,209.483104
-1100.0,16,209.533546
-1164.0,24,209.610662
-1166.0,23,209.684747
-1176.0,23,209.759204
-1088.0,12,209.797327
-1176.0,23,209.882372
-1086.0,13,209.929014
-1052.0,10,209.96427
-1120.0,16,210.020122
-1080.0,11,210.057595
-1128.0,22,210.126183
-1046.0,8,210.153729
-1112.0,15,210.199648
-1102.0,15,210.246982
-1080.0,11,210.290226
-1200.0,26,210.370587
-1112.0,15,210.416704
-1064.0,9,210.444565
-1126.0,18,210.499856
-1246.0,33,210.600222
-1102.0,15,210.647442
-1208.0,27,210.730266
-1032.0,5,210.747547
-1208.0,27,210.829834
-1048.0,7,210.851933
-1062.0,10,210.8836
-1066.0,13,210.92661
-1078.0,12,210.963794
-1060.0,11,211.011783
-1120.0,16,211.066992
-1070.0,11,211.100525
-1056.0,8,211.125968
-1080.0,11,211.161583
-1094.0,14,211.205081
-1082.0,15,211.251768
-1128.0,17,211.312757
-1176.0,28,211.39924
-1162.0,25,211.476859
-1196.0,28,211.564251
-1120.0,16,211.614612
-1096.0,13,211.657087
-1096.0,13,211.699676
-1036.0,8,211.740697
-1072.0,10,211.772038
-1056.0,8,211.797438
-1048.0,7,211.823875
-1044.0,9,211.851597
-1064.0,9,211.879132
-1078.0,12,211.919928
-1048.0,7,211.942583
-1080.0,11,211.977521
-1088.0,12,212.017529
-1094.0,14,212.06177
-1144.0,19,212.12472
-1210.0,31,212.22916
-1402.0,55,212.408921
-1056.0,8,212.433717
-1102.0,15,212.479632
-1136.0,18,212.534247
-1030.0,6,212.554605
-1192.0,25,212.631321
-1074.0,14,212.674979
-1168.0,22,212.744677
-1056.0,8,212.76988
-1048.0,7,212.79145
-1136.0,18,212.846556
-1070.0,11,212.880508
-1466.0,73,213.107836
-1118.0,22,213.178521
-1194.0,29,213.26751
-1194.0,29,213.364162
-1064.0,9,213.392314
-1068.0,12,213.428795
-1088.0,12,213.465569
-1040.0,6,213.48481
-1104.0,14,213.528212
-1080.0,11,213.563611
-1048.0,7,213.586158
-1160.0,21,213.652652
-1060.0,11,213.68685
-1046.0,8,213.712006
-1144.0,19,213.771202
-1056.0,8,213.79752
-1086.0,13,213.839329
-1084.0,14,213.882802
-1056.0,8,213.908556
-1080.0,11,213.94297
-1032.0,5,213.95963
-1172.0,30,214.049565
-1144.0,19,214.108899
-1076.0,13,214.15197
-1070.0,11,214.185354
-1062.0,10,214.217169
-1056.0,8,214.242205
-1048.0,7,214.265119
-1038.0,7,214.286936
-1248.0,32,214.392819
-1076.0,13,214.432743
-1168.0,22,214.499027
-1078.0,12,214.539578
-1120.0,16,214.589268
-1214.0,29,214.678521
-1032.0,5,214.694786
-1108.0,17,214.746101
-1078.0,12,214.783309
-1208.0,27,214.867737
-1070.0,11,214.915322
-1040.0,6,214.934658
-1092.0,15,214.97963
-1204.0,29,215.06726
-1072.0,10,215.098316
-1128.0,22,215.169104
-1014.0,4,215.182249
-1062.0,10,215.213592
-1110.0,16,215.263175
-1056.0,8,215.287407
-1048.0,7,215.308703
-1126.0,18,215.363061
-1124.0,24,215.445189
-1164.0,24,215.516225
-1064.0,9,215.544186
-1072.0,15,215.589785
-1092.0,15,215.636281
-1120.0,16,215.685667
-1088.0,12,215.726131
-1054.0,9,215.75404
-1068.0,12,215.790563
-1062.0,10,215.823569
-1080.0,11,215.856801
-1080.0,11,215.890842
-1078.0,12,215.928413
-1136.0,18,216.956628
-1080.0,11,216.990719
-1094.0,14,217.034978
-1080.0,11,217.069225
-1180.0,26,217.151278
-1096.0,13,217.191716
-1188.0,27,217.282353
-1132.0,20,217.343365
-1056.0,8,217.368505
-1180.0,26,217.457761
-1064.0,9,217.485759
-1078.0,12,217.523326
-1056.0,8,217.549096
-1056.0,8,217.57473
-1168.0,22,217.642192
-1108.0,17,217.696091
-1046.0,8,217.721233
-1062.0,10,217.756198
-1046.0,8,217.78136
-1144.0,19,217.844542
-1102.0,15,217.890269
-1154.0,34,217.993184
-1126.0,18,218.047778
-1086.0,13,218.087572
-1072.0,10,218.118183
-1152.0,20,218.181805
-1168.0,22,218.24772
-1310.0,41,218.370958
-1128.0,17,218.422343
-1132.0,20,218.491392
-1162.0,25,218.56684
-1016.0,3,218.576908
-1156.0,23,218.649508
-1030.0,6,218.670429
-1094.0,14,218.71494
-1108.0,17,218.771045
-1096.0,13,218.8123
-1108.0,17,218.865698
-1078.0,12,218.90344
-1232.0,30,218.994163
-1126.0,18,219.064039
-1112.0,15,219.111844
-1306.0,43,219.243206
-1056.0,8,219.269053
-1046.0,8,219.293412
-1088.0,12,219.330152
-1040.0,6,219.350015
-1204.0,29,219.436195
-1152.0,20,219.509576
-1110.0,16,219.560698
-1078.0,12,219.599376
-1118.0,17,219.65332
-1166.0,23,219.72625
-1104.0,14,219.770715
-1150.0,26,219.857832
-1200.0,26,219.945989
-1048.0,7,219.968154
-1096.0,13,220.008076
-1062.0,10,220.038835
-1118.0,17,220.091495
-1048.0,7,220.11342
-1080.0,11,220.149366
-1086.0,13,220.18902
-1104.0,14,220.23222
-1070.0,11,220.267291
-1072.0,10,220.29851
-1174.0,24,220.371981
-1150.0,21,220.437012
-1080.0,11,220.471097
-1120.0,16,220.529357
-1168.0,22,220.597819
-1048.0,7,220.621034
-1230.0,31,220.71287
-1160.0,21,220.778491
-1160.0,21,220.845911
-1152.0,20,220.90817
-1120.0,16,220.959648
-1120.0,16,221.007703
-1072.0,10,221.038548
-1072.0,10,221.069616
-1060.0,11,221.102806
-1108.0,17,221.156732
-1228.0,32,221.251434
-1024.0,4,221.265769
-1336.0,43,221.394668
-1096.0,13,221.435348
-1134.0,24,221.517301
-1230.0,31,221.609951
-1032.0,5,221.628753
-1100.0,16,221.697546
-1056.0,8,221.72414
-1088.0,12,221.764326
-1110.0,16,221.812713
-1076.0,13,221.85349
-1184.0,24,221.934906
-1056.0,8,221.960504
-1168.0,22,222.030565
-1086.0,13,222.073541
-1080.0,11,222.109023
-1120.0,16,222.162051
-1168.0,22,222.251724
-1118.0,17,222.306349
-1040.0,6,222.325676
-1064.0,9,222.353756
-1072.0,10,222.385595
-1148.0,22,222.452
-1094.0,14,222.494845
-1062.0,10,222.535373
-1126.0,18,222.591725
-1264.0,34,222.696056
-1088.0,12,222.73667
-1030.0,6,222.75634
-1200.0,26,222.83541
-1142.0,20,222.894642
-1144.0,19,222.953408
-1122.0,20,223.01274
-1110.0,16,223.062004
-1052.0,10,223.092895
-1072.0,10,223.12362
-1168.0,37,223.239024
-1058.0,12,223.276402
-1038.0,7,223.298012
-1124.0,19,223.355446
-1062.0,10,223.386665
-1104.0,14,223.428509
-1146.0,23,224.440955
-1122.0,20,224.501752
-1096.0,13,224.54117
-1108.0,17,224.605835
-1038.0,7,224.628427
-1076.0,13,224.668202
-1112.0,15,224.714056
-1168.0,22,224.793089
-1152.0,20,224.85558
-1068.0,12,224.893234
-1102.0,15,224.939178
-1146.0,23,225.008867
-1080.0,11,225.042185
-1104.0,19,225.104804
-1080.0,11,225.139218
-1088.0,12,225.1786
-1056.0,8,225.203099
-1092.0,15,225.256369
-1134.0,19,225.316236
-1040.0,6,225.335312
-1072.0,10,225.366169
-1068.0,12,225.403764
-1140.0,21,225.467358
-1054.0,9,225.496735
-1070.0,11,225.530233
-1072.0,10,225.561094
-1070.0,11,225.605262
-1072.0,10,225.63802
-1040.0,6,225.658319
-1070.0,11,225.692988
-1040.0,6,225.712548
-1100.0,16,225.761906
-1112.0,15,225.808961
-1088.0,12,225.846403
-1064.0,9,225.875095
-1054.0,9,225.90348
-1184.0,24,225.985924
-1064.0,9,226.013933
-1114.0,24,226.087344
-1224.0,29,226.177004
-1078.0,12,226.214409
-1088.0,17,226.267041
-1270.0,41,226.412494
-1116.0,18,226.468515
-1284.0,39,226.588965
-1052.0,10,226.630255
-1128.0,17,226.688407
-1096.0,13,226.732948
-1086.0,13,226.772946
-1056.0,8,226.798637
-1144.0,19,226.863332
-1108.0,17,226.916013
-1094.0,14,226.95919
-1048.0,7,226.981313
-1104.0,14,227.024361
-1104.0,14,227.067108
-1152.0,20,227.13044
-1124.0,19,227.193056
-1060.0,21,227.262614
-1126.0,18,227.319439
-1108.0,17,227.37192
-1064.0,9,227.400412
-1070.0,11,227.447253
-1072.0,10,227.478264
-1272.0,35,227.582761
-1100.0,16,227.641123
-1056.0,8,227.666939
-1072.0,10,227.69769
-1246.0,33,227.800713
-1096.0,13,227.840741
-1152.0,20,227.904054
-1256.0,33,228.00696
-1078.0,12,228.045173
-1094.0,14,228.088597
-1110.0,16,228.136517
-1132.0,20,228.200678
-1176.0,23,228.271558
-1152.0,20,228.332823
-1112.0,15,228.379207
-1104.0,14,228.422099
-1136.0,18,228.47686
-1072.0,10,228.5073
-1190.0,26,228.586994
-1080.0,11,228.622205
-1056.0,8,228.656185
-1072.0,10,228.691331
-1142.0,20,228.7528
-1108.0,17,228.80607
-1112.0,15,228.860861
-1056.0,8,228.886905
-1200.0,26,228.966359
-1052.0,10,228.996709
-1084.0,14,229.038473
-1072.0,10,229.068944
-1088.0,12,229.105604
-1132.0,20,229.168603
-1078.0,12,229.205336
-1174.0,24,229.279038
-1114.0,19,229.336945
-1046.0,8,229.362541
-1150.0,21,229.426062
-1048.0,7,229.447578
-1226.0,33,229.564816
-1188.0,27,229.651601
-1056.0,8,229.687118
-1070.0,11,229.722866
-1130.0,21,229.78626
-1048.0,7,229.808672
-1056.0,8,229.834271
-1244.0,34,229.94104
-1102.0,15,229.986497
-1124.0,19,230.043232
-1126.0,18,230.096974
-1048.0,7,230.119254
-1072.0,10,230.153323
-1070.0,11,230.189504
-1306.0,43,230.319702
-1118.0,17,230.370849
-1160.0,21,230.433783
-1142.0,20,230.496505
-1200.0,26,230.575931
-1190.0,26,230.65488
-1072.0,10,230.690026
-1108.0,17,230.749046
-1160.0,21,230.815935
-1216.0,28,230.906286
-1126.0,18,231.925716
-1060.0,11,231.962631
-1078.0,12,231.999615
-1248.0,32,232.09767
-1070.0,11,232.134445
-1094.0,14,232.180364
-1184.0,24,232.25919
-1086.0,13,232.30133
-1114.0,19,232.35975
-1112.0,15,232.406589
-1122.0,20,232.467249
-1094.0,14,232.512973
-1100.0,16,232.564342
-1088.0,17,232.625294
-1040.0,6,232.657891
-1086.0,13,232.698958
-1120.0,16,232.75845
-1164.0,24,232.831118
-1096.0,13,232.873141
-1048.0,7,232.897367
-1064.0,9,232.926736
-1056.0,8,232.951877
-1108.0,17,233.003583
-1264.0,49,233.159697
-1170.0,26,233.239765
-1072.0,10,233.270364
-1108.0,17,233.323268
-1054.0,9,233.351391
-1086.0,13,233.391016
-1182.0,25,233.467102
-1090.0,16,233.515283
-1056.0,8,233.54049
-1038.0,7,233.562802
-1064.0,9,233.590484
-1310.0,46,233.753298
-1088.0,12,233.798501
-1062.0,10,233.831654
-1088.0,12,233.869077
-1118.0,17,233.92019
-1066.0,13,233.959423
-1038.0,7,233.981566
-1084.0,14,234.024016
-1304.0,39,234.146751
-1064.0,9,234.174188
-1064.0,9,234.20156
-1068.0,12,234.238081
-1072.0,15,234.284385
-1040.0,6,234.304112
-1008.0,2,234.310977
-1040.0,6,234.330187
-1166.0,23,234.400157
-1114.0,19,234.457922
-1152.0,20,234.517737
-1080.0,11,234.552272
-1158.0,22,234.620035
-1032.0,5,234.637098
-1054.0,9,234.66536
-1080.0,11,234.701869
-1120.0,16,234.75251
-1088.0,12,234.807378
-1086.0,13,234.848991
-1078.0,12,234.887547
-1024.0,4,234.90097
-1086.0,13,234.940436
-1126.0,18,234.995023
-1046.0,8,235.019413
-1108.0,17,235.070817
-1158.0,22,235.137656
-1216.0,28,235.223729
-1160.0,21,235.286031
-1128.0,22,235.352989
-1152.0,20,235.419316
-1070.0,11,235.453328
-1132.0,20,235.513017
-1080.0,11,235.546643
-1206.0,28,235.632499
-1062.0,10,235.664467
-1118.0,17,235.717477
-1070.0,11,235.752334
-1088.0,12,235.790304
-1104.0,19,235.861988
-1188.0,27,235.949547
-1072.0,10,235.979919
-1156.0,23,236.049833
-1086.0,13,236.089853
-1406.0,53,236.254614
-1080.0,11,236.289357
-1056.0,8,236.31471
-1390.0,51,236.473934
-1128.0,17,236.526802
